sub block trial ctime x1 y1 err1 rt1 x2 y2 err2 rt2 x3 y3 err3 rt3 x4 y4 err4 rt4
2 1 17 0.866667 46 19 -27 1.915786 -59 -13 46 0.949619 -61 41 102 0.78302 -30 -37 -7 1.682659
2 1 18 0.766667 22 22 0 1.649236 -65 -77 -12 1.599358 1 8 7 1.815931 -1 7 8 1.249501
2 1 19 0.266667 -53 -48 5 1.865784 -32 -69 -37 1.232828 59 36 -23 1.399428 -25 -64 -39 1.099571
2 1 20 0.45 50 25 -25 2.715446 16 60 44 2.232436 17 10 -7 1.48274 56 -21 -77 0.899651
2 1 21 0.583333 47 28 -19 3.165263 61 -15 -76 2.648945 59 37 -22 0.949598 -25 -21 4 1.216159
2 1 22 0.35 -66 -59 7 2.398912 2 5 3 1.216177 -48 36 84 1.782629 -64 -31 33 0.633067
2 1 23 0.216667 42 34 -8 4.064888 -3 -16 -13 1.399457 -28 32 60 1.149546 -58 -51 7 0.733045
2 1 24 0.166667 -29 -30 -1 2.665449 -40 -47 -7 0.899655 -52 34 86 1.149549 -55 -42 13 0.79967
2 1 25 0.916667 21 30 9 0.999481 -6 -19 -13 1.882592 57 54 -3 0.9996 -41 -44 -3 1.099562
2 1 26 0.066667 33 56 23 1.166081 -35 -13 22 0.59974 -15 33 48 1.266177 1 -10 -11 1.016239
2 1 27 0.05 1 4 3 0.99947 12 23 11 1.282821 -6 -35 -29 1.032922 63 18 -45 1.499351
2 1 28 0.066667 26 37 11 0.982806 26 15 -11 1.332814 -19 -14 5 1.182859 0 -30 -30 1.865909
2 1 29 0.4 3 0 -3 0.999477 -6 -8 -2 1.049578 0 7 7 0.882979 -4 3 7 1.499401
2 1 30 0.85 -7 -3 4 1.332691 17 21 4 1.166201 -53 32 85 0.84966 54 -42 -96 0.733033
2 2 1 0.333333 29 22 -7 1.615883 -44 3 47 1.016251 15 -22 -37 1.566041 21 13 -8 1.249511
2 2 2 0.95 -60 -27 33 1.932429 31 36 5 2.515658 -18 -43 -25 1.099564 58 70 12 1.616021
2 2 3 0.333333 35 34 -1 1.765837 35 41 6 1.082899 36 40 4 1.199508 44 54 10 1.049583
2 2 4 0.05 39 30 -9 1.33267 56 6 -50 1.449425 69 -38 -107 1.499378 -53 -28 25 1.21619
2 2 5 0.2 20 42 22 1.032786 -6 -26 -20 1.182869 25 -18 -43 0.999599 -38 -1 37 0.666398
2 2 6 0.8 -29 -23 6 1.715856 -33 -25 8 1.649357 57 43 -14 0.783028 -21 -29 -8 1.599358
2 2 7 0.116667 55 31 -24 2.265628 55 24 -31 1.432725 48 37 -11 1.332822 59 -12 -71 1.765958
2 2 8 0.566667 63 35 -28 0.899502 -57 -41 16 2.482326 7 0 -7 1.599361 70 29 -41 2.515649
2 2 9 0.816667 9 4 -5 1.282689 -27 -22 5 1.416119 14 31 17 1.582711 -6 -44 -38 1.599358
