  3 2 10      0  41  F X C K P  F  X  C  K  P    0.837    0.573    0.576    2.566    1.354 
  3 2 10      1  42  H F X S G  H  K  F  S  C    1.403    3.399    2.185    1.356    1.367 
  3 2 10     13  43  D V M J L  D  V  J  L  K    1.509    1.917    2.523    3.653    1.786 
  3 2 10     13  44  N X H G B  N  X  H  G  L    1.268    2.306    2.282    2.630    3.358 
  3 2 10      3  45  X W K P M  X  W  P  L  X    1.534    3.264    2.699    2.695    2.077 
  3 2 10     11  46  D R L N V  D  R  L  N  V    1.270    1.273    1.076    1.044    1.340 
  3 2 10     13  47  F C N D W  F  C  V  C  L    1.620    1.836    2.821    2.348    2.538 
  3 2 10      1  48  C V Z L P  C  V  P  L  Z    1.710    2.173    1.463    1.826    2.157 
  3 2 10     13  49  Z F L M W  Z  P  C  Z  L    1.322    2.757    2.923    2.310    1.935 
  3 2 10      1  50  N S H G V  N  S  H  V  L    1.377    1.636    1.574    1.596    2.847 
  3 2 10      1  51  W J R D F  W  J  R  L  S    2.436    2.082    2.672    2.150    2.775 
  3 2 10      3  52  B N W P F  B  W  N  P  L    2.195    2.551    2.646    2.055    2.482 
  3 2 10     13  53  Z K X R G  Z  X  R  L  S    1.322    4.148    2.375    1.745    3.112 
  3 2 10      0  54  D V T C F  D  V  T  C  L    0.627    1.452    0.737    1.272    0.970 
  3 2 10      1  55  G B H N L  G  B  N  H  L    1.713    1.665    2.660    2.082    1.262 
  3 2 10      0  56  W K V T C  W  K  T  V  L    1.188    1.143    0.977    1.259    2.915 
  3 2 10      3  57  T J X Z C  T  J  C  L  Z    1.481    2.430    2.469    2.793    2.464 
  3 2 10     11  58  V M X W F  V  X  Z  P  L    1.834    2.038    4.405    1.611    1.276 
  3 2 10     11  59  F N V L C  F  N  L  V  C    1.643    1.089    1.340    1.447    1.943 
  3 2 10      0  60  S Z J B M  S  J  B  N  L    0.922    1.586    1.379    0.928    0.901 
  4 2  6      0   1  N L M B C  N  L  M  B  C    0.932    0.576    1.179    0.564    0.614 
  4 2  6      0   2  D M F T V  D  M  F  T  V    1.377    0.898    1.085    0.548    0.872 
  4 2  6     11   3  S P N H T  S  P  N  F  T    1.941    3.492    2.216    2.119    2.039 
  4 2  6     11   4  M J X L V  M  J  X  L  V    1.851    1.919    1.876    1.799    1.517 
  4 2  6      1   5  X D J P S  X  D  J  P  S    1.718    1.599    1.382    1.571    1.488 
  4 2  6      3   6  V D J W F  V  D  P  F  S    1.893    1.571    2.082    2.740    2.805 
  4 2  6      1   7  B M W C K  B  M  W  H  K    1.649    1.748    1.569    3.115    1.397 
  4 2  6      1   8  B X H V P  B  X  H  V  K    1.890    2.308    2.739    1.746    1.570 
  4 2  6      1   9  C W J G P  C  W  J  G  P    1.739    1.773    1.932    1.677    1.211 
  4 2  6     11  10  X F N R J  X  F  N  H  K    2.478    2.335    2.983    3.652    1.612 
  4 2  6     11  11  V S X W N  V  S  X  W  K    1.566    1.088    2.214    1.747    1.278 
  4 2  6      1  12  G K T M F  G  K  T  X  F    2.575    2.268    1.662    3.208    1.758 
  4 2  6      3  13  P K C S M  P  K  C  S  M    2.011    1.851    1.865    1.544    1.682 
  4 2  6      3  14  R F V M W  R  F  P  M  W    1.646    2.283    2.125    1.676    1.515 
  4 2  6     13  15  R V W G B  R  V  W  G  B    1.890    2.230    3.491    2.927    1.543 
  4 2  6     13  16  K H R Z T  K  H  R  Z  T    1.654    2.714    2.793    2.145    1.638 
  4 2  6      0  17  K W J S H  K  W  J  S  H    1.435    1.342    1.046    0.791    1.261 
  4 2  6      3  18  H G J Z W  H  J  S  W  Z    1.838    2.992    3.154    2.578    1.828 
  4 2  6     13  19  P R H V Z  P  R  H  V  Z    1.814    1.692    2.579    2.916    1.327 
  4 2  6      3  20  W T J C M  W  T  J  W  Z    1.383    1.856    3.209    3.357    1.866 
  4 2  6      3  21  M H C X F  M  X  C  F  Z    1.584    1.756    1.934    2.567    1.961 
  4 2  6     11  22  L B F P G  L  B  G  P  G    2.040    2.027    2.631    2.807    2.886 
