sub dur iti acc rt correct resp ss ptrl
12 11990 medium 1 1859 d d 3 cor
12 990 long 1 1519 d d 3 cor
12 5990 long 1 1275 s s 3 cor
12 990 medium 1 1576 s s 3 cor
12 11990 short 0 1592 s d 3 cor
12 11990 medium 1 1824 s s 3 inc
12 5990 short 1 2824 d d 3 cor
12 11990 short 1 2016 s s 3 cor
12 990 long 1 1344 s s 3 cor
12 5990 long 1 1507 s s 3 cor
12 5990 medium 0 1608 d s 3 cor
12 990 short 1 2098 d d 3 inc
12 11990 long 0 2016 s d 3 cor
12 5990 short 1 2105 s s 3 inc
12 990 medium 1 1589 d d 3 cor
12 990 short 0 1322 d s 3 cor
12 990 short 1 1235 s s 3 inc
12 5990 short 1 1433 d d 3 cor
12 990 medium 0 1423 d s 3 cor
12 5990 medium 1 1544 s s 3 inc
12 11990 long 0 2307 s d 3 cor
12 5990 medium 1 1514 d d 3 inc
12 5990 short 1 1146 s s 3 cor
12 5990 long 0 1649 d s 3 cor
12 11990 long 1 1311 d d 3 inc
12 990 long 1 1655 s s 3 cor
12 5990 long 1 1460 d d 3 cor
12 11990 short 1 1438 s s 3 cor
12 5990 long 0 1275 s d 3 cor
12 5990 medium 1 1486 d d 3 inc
12 11990 short 1 1675 d d 3 cor
12 990 medium 1 1379 d d 3 cor
12 5990 long 1 1504 d d 3 inc
12 11990 medium 1 2206 s s 3 cor
12 990 short 1 1352 s s 3 cor
12 5990 medium 1 1650 d d 3 cor
12 990 long 1 1260 s s 3 cor
12 990 short 1 1660 s s 3 cor
12 5990 medium 1 1866 s s 3 cor
12 990 medium 1 1437 d d 3 cor
12 11990 short 1 2161 s s 3 cor
12 11990 medium 1 1474 s s 3 inc
12 5990 short 1 2115 d d 3 cor
12 11990 medium 1 1967 d d 3 cor
12 11990 short 1 1532 d d 3 cor
12 11990 long 0 2070 s d 3 cor
12 5990 medium 1 1748 s s 3 inc
12 5990 short 0 1943 s d 3 cor
12 11990 long 1 2848 d d 3 inc
12 11990 long 1 1532 d d 3 cor
12 990 long 1 2144 d d 3 cor
12 990 medium 1 1456 s s 3 cor
12 11990 medium 0 2149 d s 3 cor
12 990 medium 1 1461 s s 3 inc
12 990 long 1 1437 s s 3 cor
12 990 short 1 1698 d d 3 cor
12 990 long 0 1432 d s 3 cor
12 990 short 0 1313 d s 3 inc
13 11990 long 1 1437 s s 3 cor
13 5990 medium 1 1195 d d 3 cor
13 990 long 1 1088 s s 3 cor
13 5990 medium 0 1050 s d 3 cor
13 5990 short 1 2111 d d 3 inc
13 990 long 1 964 d d 3 cor
13 5990 medium 1 1300 d d 3 cor
13 11990 short 0 1380 d s 3 cor
13 5990 short 0 1691 s d 3 inc
13 11990 long 1 2097 d d 3 inc
13 11990 medium 1 1603 d d 3 cor
13 11990 medium 0 2515 s d 3 cor
13 5990 short 1 1185 d d 3 inc
13 990 short 1 1536 d d 3 cor
13 5990 long 1 1137 d d 3 cor
13 990 medium 1 1161 s s 3 cor
13 5990 long 1 959 d d 3 cor
13 990 short 1 988 s s 3 cor
13 990 medium 1 980 d d 3 cor
13 990 long 1 751 d d 3 cor
13 11990 medium 1 1590 s s 3 cor
13 11990 long 1 1606 d d 3 cor
13 5990 long 1 1862 s s 3 cor
13 990 medium 1 926 d d 3 cor
13 11990 long 0 1175 s d 3 cor
13 11990 short 0 891 s d 3 inc
13 11990 short 0 1424 s d 3 inc
13 5990 short 1 1715 s s 3 inc
13 5990 long 1 1031 s s 3 cor
13 990 short 1 1586 s s 3 cor
13 990 long 1 760 s s 3 cor
13 11990 short 1 974 d d 3 cor
13 990 short 0 1278 d s 3 cor
13 5990 medium 0 1711 s d 3 inc
13 11990 medium 0 1621 d s 3 inc
13 990 medium 1 1037 s s 3 inc
13 990 medium 1 1056 s s 3 cor
13 5990 medium 1 1063 d d 3 cor
13 5990 short 0 1613 d s 3 cor
13 5990 long 1 1600 s s 3 inc
13 5990 medium 0 1437 s d 3 inc
13 990 medium 1 1554 d d 3 inc
13 11990 medium 1 1144 s s 3 cor
13 990 short 1 1386 d d 3 cor
13 11990 long 1 1232 d d 3 cor
13 990 long 1 1071 s s 3 cor
13 5990 short 1 1193 d d 3 cor
13 990 short 0 1333 s d 3 cor
13 5990 short 0 1685 s d 3 inc
13 11990 short 1 2522 d d 3 inc
13 5990 short 0 2778 s d 3 cor
13 990 medium 0 1562 s d 3 inc
13 5990 long 1 1361 d d 3 inc
13 990 short 0 1230 s d 3 cor
13 11990 short 1 1244 s s 3 inc
13 5990 long 1 1623 s s 3 cor
13 990 medium 0 1230 d s 3 cor
13 11990 medium 0 1284 d s 3 inc
13 990 long 1 1759 d d 3 inc
13 990 long 1 1733 d d 3 cor
13 5990 long 1 2068 d d 3 cor
13 11990 short 1 2087 s s 3 cor
13 11990 medium 0 2433 s d 3 cor
13 5990 medium 1 1588 d d 3 inc
13 11990 long 0 1778 s d 3 cor
13 11990 medium 0 1378 d s 3 inc
13 11990 long 1 1429 d d 3 inc
13 990 long 1 1388 s s 3 cor
13 5990 medium 0 1733 s d 3 cor
13 11990 short 1 1300 d d 3 inc
13 5990 long 1 1258 d d 3 cor
13 5990 long 0 1365 d s 3 cor
13 990 short 0 1553 s d 3 cor
13 990 medium 0 1001 d s 3 inc
13 11990 short 0 1452 d s 3 inc
13 11990 long 0 1796 s d 3 inc
13 5990 medium 0 2217 s d 3 inc
13 11990 medium 0 1959 s d 3 inc
13 11990 short 1 1941 d d 3 inc
13 11990 medium 1 1307 d d 3 cor
13 990 long 1 1130 s s 3 cor
13 990 long 1 1936 s s 3 cor
13 5990 long 0 1264 s d 3 cor
13 11990 medium 1 1537 d d 3 inc
13 5990 short 1 1248 d d 3 cor
13 990 medium 1 1179 d d 3 cor
13 5990 short 0 1804 s d 3 cor
13 11990 long 1 2473 d d 3 cor
13 990 medium 1 1439 s s 3 cor
13 11990 short 1 1589 s s 3 cor
13 5990 medium 1 1797 d d 3 cor
13 990 short 1 1476 s s 3 cor
13 990 long 0 1521 d s 3 cor
13 5990 medium 0 1442 s d 3 inc
13 990 short 1 2099 d d 3 inc
13 11990 medium 1 1590 s s 3 cor
13 5990 medium 1 1986 d d 3 cor
13 990 medium 1 2882 s s 3 cor
13 990 long 1 1096 d d 3 cor
13 11990 long 0 1526 s d 3 cor
13 5990 short 0 1504 d s 3 cor
13 5990 medium 0 2819 s d 3 cor
13 5990 long 1 1273 d d 3 inc
13 11990 short 0 2128 s d 3 cor
13 990 long 1 1874 s s 3 inc
13 990 medium 0 1740 d s 3 cor
13 990 long 1 1388 s s 3 inc
13 5990 short 0 1564 s d 3 inc
13 5990 long 1 1589 s s 3 inc
13 5990 short 1 1774 d d 3 cor
13 990 medium 1 2822 s s 3 cor
13 11990 medium 0 2316 s d 3 cor
13 990 long 1 1054 d d 3 cor
13 11990 long 1 1396 d d 3 cor
13 11990 long 1 2337 d d 3 cor
13 11990 short 0 1742 d s 3 cor
13 11990 short 1 1552 s s 3 inc
13 11990 long 0 1891 s d 3 cor
13 990 short 1 1764 s s 3 cor
13 5990 short 0 1705 s d 3 cor
13 11990 short 0 1445 d s 3 inc
13 11990 medium 0 1557 s d 3 inc
13 5990 long 0 1456 s d 3 cor
13 11990 long 0 1779 s d 3 inc
14 990 short 1 1434 s s 3 cor
14 990 long 1 1692 d d 3 cor
14 5990 long 0 2263 s d 3 cor
14 990 medium 1 1329 d d 3 inc
14 11990 long 1 1994 d d 3 cor
14 11990 medium 1 1494 d d 3 cor
14 5990 medium 1 1778 s s 3 cor
14 5990 short 1 2672 s s 3 cor
14 11990 medium 1 1222 d d 3 cor
14 11990 short 1 1200 d d 3 cor
14 990 medium 1 1096 s s 3 cor
14 5990 short 0 1016 s d 3 cor
14 5990 long 1 1121 d d 3 inc
14 11990 short 1 1075 d d 3 cor
14 11990 medium 1 1365 s s 3 cor
14 11990 long 1 2085 s s 3 cor
14 11990 short 1 1597 s s 3 cor
14 5990 long 1 1673 s s 3 cor
14 5990 long 1 1692 d d 3 cor
14 11990 long 1 1553 d d 3 cor
14 990 medium 0 1604 d s 3 cor
14 990 medium 1 2552 s s 3 inc
14 990 long 1 1612 d d 3 cor
14 5990 short 0 1275 d s 3 cor
14 990 short 1 931 d d 3 cor
14 11990 medium 0 2383 s d 3 cor
14 990 long 1 1394 s s 3 inc
14 5990 medium 1 2153 s s 3 cor
14 990 long 1 1212 s s 3 cor
14 5990 medium 1 1501 d d 3 cor
14 990 short 1 1161 s s 3 cor
14 5990 medium 0 1480 d s 3 cor
14 990 short 1 1723 d d 3 inc
14 5990 short 1 1405 d d 3 cor
