"TaskType" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "writtenSP" "outputorder" "TaskTypeKnow"
"Known" 1 2 23 47 10 2 "engage" -1 -1 1
"Known" 1 2 23 47 10 3 "beggar" -1 -1 1
"Known" 1 2 23 47 10 4 "acre" -1 -1 1
"Known" 1 2 23 47 10 5 "intend" -1 -1 1
"Known" 1 2 23 47 10 6 "disgust" -1 -1 1
"Known" 1 2 23 47 10 7 "shelter" -1 -1 1
"Known" 1 2 23 47 10 8 "surround" -1 -1 1
"Known" 1 2 23 47 10 9 "express" 9 1 1
"Known" 1 2 23 47 10 10 "murder" 10 2 1
"Known" 1 2 24 48 10 1 "hunter" -1 -1 1
"Known" 1 2 24 48 10 2 "sparkle" -1 -1 1
"Known" 1 2 24 48 10 3 "consent" -1 -1 1
"Known" 1 2 24 48 10 4 "series" -1 -1 1
"Known" 1 2 24 48 10 5 "rubber" -1 -1 1
"Known" 1 2 24 48 10 6 "body" -1 -1 1
"Known" 1 2 24 48 10 7 "beaver" -1 -1 1
"Known" 1 2 24 48 10 8 "social" 8 1 1
"Known" 1 2 24 48 10 9 "contest" 9 2 1
"Known" 1 2 24 48 10 10 "figure" 10 3 1
"Known" 1 3 1 49 4 1 "purchase" 1 1 1
"Known" 1 3 1 49 4 2 "maintain" 2 2 1
"Known" 1 3 1 49 4 3 "beauty" 3 3 1
"Known" 1 3 1 49 4 4 "absent" -1 -1 1
"Known" 1 3 2 50 4 1 "jewel" 1 1 1
"Known" 1 3 2 50 4 2 "chairman" 2 2 1
"Known" 1 3 2 50 4 3 "gentle" -1 -1 1
"Known" 1 3 2 50 4 4 "contract" 4 3 1
"Known" 1 3 3 51 4 1 "outline" 1 1 1
"Known" 1 3 3 51 4 2 "absorb" 2 2 1
"Known" 1 3 3 51 4 3 "orange" 3 3 1
"Known" 1 3 3 51 4 4 "answer" -1 -1 1
"Known" 1 3 4 52 4 1 "reflect" 1 1 1
"Known" 1 3 4 52 4 2 "after" 2 2 1
"Known" 1 3 4 52 4 3 "cabin" 3 3 1
"Known" 1 3 4 52 4 4 "lawyer" 4 4 1
"Known" 1 3 5 53 4 1 "district" 1 1 1
"Known" 1 3 5 53 4 2 "deceive" -1 -1 1
"Known" 1 3 5 53 4 3 "reform" -1 -1 1
"Known" 1 3 5 53 4 4 "perform" 4 2 1
"Known" 1 3 6 54 4 1 "promptly" -1 -1 1
"Known" 1 3 6 54 4 2 "robin" 2 1 1
"Known" 1 3 6 54 4 3 "contain" 3 2 1
"Known" 1 3 6 54 4 4 "happen" -1 -1 1
"Known" 1 3 7 55 4 1 "weary" -1 -1 1
"Known" 1 3 7 55 4 2 "sparrow" 2 1 1
"Known" 1 3 7 55 4 3 "matter" 3 2 1
"Known" 1 3 7 55 4 4 "crazy" 4 3 1
"Known" 1 3 8 56 4 1 "dirty" 1 1 1
"Known" 1 3 8 56 4 2 "yellow" 2 2 1
"Known" 1 3 8 56 4 3 "steamer" 3 3 1
"Known" 1 3 8 56 4 4 "away" 4 4 1
"Known" 1 3 9 57 5 1 "helmet" 1 1 1
"Known" 1 3 9 57 5 2 "mental" 2 2 1
"Known" 1 3 9 57 5 3 "wealthy" -1 -1 1
"Known" 1 3 9 57 5 4 "obtain" -1 -1 1
"Known" 1 3 9 57 5 5 "apple" -1 -1 1
"Known" 1 3 10 58 5 1 "reckon" -1 -1 1
"Known" 1 3 10 58 5 2 "ocean" 2 1 1
"Known" 1 3 10 58 5 3 "nothing" 3 2 1
"Known" 1 3 10 58 5 4 "despair" -1 -1 1
"Known" 1 3 10 58 5 5 "member" -1 -1 1
"Known" 1 3 11 59 5 1 "item" 1 1 1
"Known" 1 3 11 59 5 2 "simple" -1 -1 1
"Known" 1 3 11 59 5 3 "singer" -1 -1 1
"Known" 1 3 11 59 5 4 "football" 5 3 1
"Known" 1 3 11 59 5 5 "belief" -1 -1 1
"Known" 1 3 12 60 5 1 "arrest" 1 1 1
"Known" 1 3 12 60 5 2 "battle" -1 -1 1
"Known" 1 3 12 60 5 3 "chamber" 2 2 1
"Known" 1 3 12 60 5 4 "advise" -1 -1 1
"Known" 1 3 12 60 5 5 "mistake" -1 -1 1
"Known" 1 3 13 61 5 1 "begin" 1 1 1
"Known" 1 3 13 61 5 2 "earnest" -1 -1 1
"Known" 1 3 13 61 5 3 "ideal" -1 -1 1
"Known" 1 3 13 61 5 4 "amuse" 4 2 1
"Known" 1 3 13 61 5 5 "upward" 5 3 1
"Known" 1 3 14 62 5 1 "gallop" -1 -1 1
"Known" 1 3 14 62 5 2 "create" -1 -1 1
"Known" 1 3 14 62 5 3 "police" 3 1 1
"Known" 1 3 14 62 5 4 "angel" 4 2 1
"Known" 1 3 14 62 5 5 "widow" 5 3 1
"Known" 1 3 15 63 5 1 "complain" 1 1 1
"Known" 1 3 15 63 5 2 "below" -1 -1 1
"Known" 1 3 15 63 5 3 "locate" 3 2 1
"Known" 1 3 15 63 5 4 "passion" 5 3 1
"Known" 1 3 15 63 5 5 "even" -1 -1 1
"Known" 1 3 16 64 5 1 "mention" 1 1 1
"Known" 1 3 16 64 5 2 "perhaps" -1 -1 1
"Known" 1 3 16 64 5 3 "spirit" 3 2 1
"Known" 1 3 16 64 5 4 "confine" -1 -1 1
"Known" 1 3 16 64 5 5 "commerce" -1 -1 1
"Known" 1 3 17 65 7 1 "honey" 1 1 1
"Known" 1 3 17 65 7 2 "equip" 5 2 1
"Known" 1 3 17 65 7 3 "wooden" -1 -1 1
"Known" 1 3 17 65 7 4 "lady" -1 -1 1
"Known" 1 3 17 65 7 5 "talent" -1 -1 1
"Known" 1 3 17 65 7 6 "season" 6 3 1
"Known" 1 3 17 65 7 7 "travel" 7 4 1
"Known" 1 3 18 66 7 1 "farmer" 1 1 1
"Known" 1 3 18 66 7 2 "legend" -1 -1 1
"Known" 1 3 18 66 7 3 "pupil" 4 2 1
"Known" 1 3 18 66 7 4 "carriage" -1 -1 1
"Known" 1 3 18 66 7 5 "function" -1 -1 1
"Known" 1 3 18 66 7 6 "favor" 7 3 1
"Known" 1 3 18 66 7 7 "infant" -1 -1 1
"Known" 1 3 19 67 7 1 "cheerful" -1 -1 1
"Known" 1 3 19 67 7 2 "danger" -1 -1 1
"Known" 1 3 19 67 7 3 "bubble" -1 -1 1
"Known" 1 3 19 67 7 4 "frontier" 2 1 1
"Known" 1 3 19 67 7 5 "extra" -1 -1 1
"Known" 1 3 19 67 7 6 "remove" 6 2 1
"Known" 1 3 19 67 7 7 "awake" 7 3 1
"Known" 1 3 20 68 7 1 "ticket" -1 -1 1
"Known" 1 3 20 68 7 2 "goddess" -1 -1 1
"Known" 1 3 20 68 7 3 "scholar" -1 -1 1
"Known" 1 3 20 68 7 4 "mixture" -1 -1 1
"Known" 1 3 20 68 7 5 "fiercely" -1 -1 1
"Known" 1 3 20 68 7 6 "folly" -1 -1 1
"Known" 1 3 20 68 7 7 "diamond" 7 1 1
"Known" 1 3 21 69 7 1 "stocking" -1 -1 1
"Known" 1 3 21 69 7 2 "mainly" -1 -1 1
"Known" 1 3 21 69 7 3 "province" -1 -1 1
"Known" 1 3 21 69 7 4 "parcel" 3 1 1
"Known" 1 3 21 69 7 5 "relief" -1 -1 1
"Known" 1 3 21 69 7 6 "impress" -1 -1 1
"Known" 1 3 21 69 7 7 "distinct" 7 2 1
"Known" 1 3 22 70 7 1 "princess" 1 1 1
"Known" 1 3 22 70 7 2 "insect" -1 -1 1
"Known" 1 3 22 70 7 3 "flourish" -1 -1 1
"Known" 1 3 22 70 7 4 "forest" -1 -1 1
"Known" 1 3 22 70 7 5 "delight" -1 -1 1
"Known" 1 3 22 70 7 6 "darling" 6 2 1
"Known" 1 3 22 70 7 7 "custom" 7 3 1
"Known" 1 3 23 71 7 1 "wanting" -1 -1 1
"Known" 1 3 23 71 7 2 "punish" 2 1 1
"Known" 1 3 23 71 7 3 "million" -1 -1 1
"Known" 1 3 23 71 7 4 "worship" -1 -1 1
"Known" 1 3 23 71 7 5 "stolen" -1 -1 1
"Known" 1 3 23 71 7 6 "duty" -1 -1 1
"Known" 1 3 23 71 7 7 "rival" -1 -1 1
"Known" 1 3 24 72 7 1 "proper" -1 -1 1
"Known" 1 3 24 72 7 2 "record" -1 -1 1
"Known" 1 3 24 72 7 3 "silver" -1 -1 1
"Known" 1 3 24 72 7 4 "wrinkle" -1 -1 1
"Known" 1 3 24 72 7 5 "table" 6 2 1
"Known" 1 3 24 72 7 6 "servant" 5 1 1
"Known" 1 3 24 72 7 7 "study" 7 3 1
"Known" 1 4 1 73 15 1 "lonely" -1 -1 1
"Known" 1 4 1 73 15 2 "assign" -1 -1 1
"Known" 1 4 1 73 15 3 "picture" -1 -1 1
"Known" 1 4 1 73 15 4 "opera" -1 -1 1
"Known" 1 4 1 73 15 5 "apply" -1 -1 1
"Known" 1 4 1 73 15 6 "funny" -1 -1 1
"Known" 1 4 1 73 15 7 "supply" -1 -1 1
"Known" 1 4 1 73 15 8 "insult" -1 -1 1
"Known" 1 4 1 73 15 9 "venture" -1 -1 1
"Known" 1 4 1 73 15 10 "behave" -1 -1 1
"Known" 1 4 1 73 15 11 "cannot" -1 -1 1
"Known" 1 4 1 73 15 12 "correct" -1 -1 1
"Known" 1 4 1 73 15 13 "exchange" 13 1 1
"Known" 1 4 1 73 15 14 "monster" 14 2 1
"Known" 1 4 1 73 15 15 "union" 15 3 1
"Known" 1 4 2 74 15 1 "forward" -1 -1 1
"Known" 1 4 2 74 15 2 "winter" -1 -1 1
"Known" 1 4 2 74 15 3 "pointed" -1 -1 1
"Known" 1 4 2 74 15 4 "direct" -1 -1 1
"Known" 1 4 2 74 15 5 "bargain" -1 -1 1
"Known" 1 4 2 74 15 6 "backward" -1 -1 1
"Known" 1 4 2 74 15 7 "endure" -1 -1 1
"Known" 1 4 2 74 15 8 "invent" -1 -1 1
"Known" 1 4 2 74 15 9 "easy" -1 -1 1
"Known" 1 4 2 74 15 10 "fatal" -1 -1 1
"Known" 1 4 2 74 15 11 "merchant" -1 -1 1
"Known" 1 4 2 74 15 12 "artist" -1 -1 1
"Known" 1 4 2 74 15 13 "convert" 14 2 1
"Known" 1 4 2 74 15 14 "liquid" 13 1 1
"Known" 1 4 2 74 15 15 "stanza" 15 3 1
"Known" 1 4 3 75 15 1 "forget" -1 -1 1
