"Knownlength" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "outputorder" "LengthKnow"
"Known" 1 4 11 83 15 1 "perceive" -1 1
"Known" 1 4 11 83 15 2 "perfect" 5 1
"Known" 1 4 11 83 15 3 "study" 6 1
"Known" 1 4 11 83 15 4 "writer" 7 1
"Known" 1 4 11 83 15 5 "wagon" -1 1
"Known" 1 4 11 83 15 6 "angle" 3 1
"Known" 1 4 11 83 15 7 "lumber" -1 1
"Known" 1 4 11 83 15 8 "northern" 8 1
"Known" 1 4 11 83 15 9 "gentle" -1 1
"Known" 1 4 11 83 15 10 "regret" 4 1
"Known" 1 4 11 83 15 11 "degree" -1 1
"Known" 1 4 11 83 15 12 "borrow" -1 1
"Known" 1 4 11 83 15 13 "calmly" -1 1
"Known" 1 4 11 83 15 14 "angel" 1 1
"Known" 1 4 11 83 15 15 "corner" 2 1
"Known" 1 4 12 84 15 1 "monkey" -1 1
"Known" 1 4 12 84 15 2 "alas" 6 1
"Known" 1 4 12 84 15 3 "destroy" -1 1
"Known" 1 4 12 84 15 4 "pleasure" -1 1
"Known" 1 4 12 84 15 5 "valley" -1 1
"Known" 1 4 12 84 15 6 "million" -1 1
"Known" 1 4 12 84 15 7 "reading" 5 1
"Known" 1 4 12 84 15 8 "closet" -1 1
"Known" 1 4 12 84 15 9 "shaken" -1 1
"Known" 1 4 12 84 15 10 "instant" 4 1
"Known" 1 4 12 84 15 11 "scatter" -1 1
"Known" 1 4 12 84 15 12 "contest" -1 1
"Known" 1 4 12 84 15 13 "flourish" 3 1
"Known" 1 4 12 84 15 14 "upon" 2 1
"Known" 1 4 12 84 15 15 "lovely" 1 1
