"rep(1, length(dats[, 1]))" "Sess" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
1 555 10 6 5 6 0 0 1 0.804 TRUE
1 555 10 7 4 3 1 1 1 0.938 TRUE
1 555 10 8 5 6 0 0 1 0.65 TRUE
1 555 10 9 5 6 0 0 1 1.01 TRUE
1 555 10 10 4 5 0 0 1 0.622 TRUE
1 555 10 11 5 1 1 1 1 0.658 TRUE
1 555 10 12 2 1 1 1 1 0.688 TRUE
1 555 10 13 3 4 0 0 1 0.415 TRUE
1 555 10 14 1 2 0 0 1 0.529 TRUE
1 555 10 15 4 5 0 0 1 0.531 TRUE
1 555 10 16 3 3 1 1 1 0.47 TRUE
1 555 10 17 5 5 1 1 1 0.565 TRUE
1 555 10 18 2 3 0 0 1 0.502 TRUE
1 555 10 19 3 4 0 0 1 0.512 TRUE
1 555 10 20 4 4 1 1 1 0.526 TRUE
1 555 10 21 5 6 0 0 1 0.509 TRUE
1 555 10 22 2 3 0 0 1 0.459 TRUE
1 555 10 23 4 1 1 1 1 0.622 TRUE
1 555 10 24 3 4 0 0 1 0.481 TRUE
1 555 10 25 4 2 1 1 1 0.713 TRUE
1 555 10 26 1 1 1 1 1 0.549 TRUE
1 555 10 27 5 4 1 1 1 0.582 TRUE
1 555 10 28 4 5 0 0 1 0.472 TRUE
1 555 10 29 3 1 1 1 1 0.649 TRUE
1 555 10 30 4 5 0 0 1 0.475 TRUE
1 556 1 1 4 3 1 1 1 0.613 TRUE
1 556 1 2 5 6 0 0 1 0.666 TRUE
1 556 1 3 5 5 1 1 1 0.486 TRUE
1 556 1 4 2 3 0 0 1 0.471 TRUE
1 556 1 5 3 2 1 1 1 0.541 TRUE
1 556 1 6 3 3 1 1 1 0.431 TRUE
1 556 1 7 3 4 0 0 1 0.448 TRUE
1 556 1 8 5 3 1 1 1 0.55 TRUE
1 556 1 9 3 4 0 0 1 0.421 TRUE
1 556 1 10 4 4 1 1 1 0.431 TRUE
1 556 1 11 4 5 0 0 1 0.44 TRUE
1 556 1 12 5 6 1 0 0 0.583 TRUE
1 556 1 13 2 3 0 0 1 0.431 TRUE
1 556 1 14 1 1 1 1 1 0.365 TRUE
1 556 1 15 2 2 1 1 1 0.459 TRUE
1 556 1 16 5 6 0 0 1 0.507 TRUE
1 556 1 17 4 2 1 1 1 0.678 TRUE
1 556 1 18 5 6 1 0 0 0.753 TRUE
1 556 1 19 4 5 0 0 1 0.517 TRUE
1 556 1 20 4 1 1 1 1 0.841 TRUE
1 556 1 21 2 1 1 1 1 0.571 TRUE
1 556 1 22 5 1 1 1 1 0.485 TRUE
1 556 1 23 3 4 0 0 1 0.538 TRUE
1 556 1 24 5 6 0 0 1 0.779 TRUE
1 556 1 25 4 5 0 0 1 0.543 TRUE
1 556 1 26 5 4 1 1 1 0.504 TRUE
1 556 1 27 5 2 1 1 1 0.678 TRUE
1 556 1 28 4 5 0 0 1 0.53 TRUE
1 556 1 29 1 2 0 0 1 0.533 TRUE
1 556 1 30 3 1 0 1 0 0.551 TRUE
1 556 2 1 5 2 0 1 0 0.59 TRUE
1 556 2 2 2 1 1 1 1 0.525 TRUE
1 556 2 3 1 2 0 0 1 0.411 TRUE
1 556 2 4 4 1 1 1 1 0.53 TRUE
1 556 2 5 5 6 0 0 1 1.306 FALSE
1 556 2 6 5 6 0 0 1 0.615 TRUE
1 556 2 7 3 4 0 0 1 0.511 TRUE
1 556 2 8 4 5 0 0 1 0.601 TRUE
1 556 2 9 5 6 0 0 1 0.604 TRUE
1 556 2 10 5 3 1 1 1 0.657 TRUE
1 556 2 11 2 3 0 0 1 0.44 TRUE
1 556 2 12 2 3 0 0 1 0.428 TRUE
1 556 2 13 5 4 1 1 1 0.66 TRUE
1 556 2 14 1 1 1 1 1 0.417 TRUE
1 556 2 15 4 5 0 0 1 0.69 TRUE
1 556 2 16 2 2 1 1 1 0.448 TRUE
1 556 2 17 5 6 0 0 1 0.477 TRUE
1 556 2 18 4 3 1 1 1 0.733 TRUE
1 556 2 19 5 6 0 0 1 0.595 TRUE
1 556 2 20 4 5 0 0 1 0.598 TRUE
1 556 2 21 5 1 0 1 0 0.74 TRUE
1 556 2 22 4 4 1 1 1 0.496 TRUE
1 556 2 23 4 5 0 0 1 0.643 TRUE
1 556 2 24 3 3 1 1 1 0.476 TRUE
1 556 2 25 3 2 1 1 1 0.5 TRUE
1 556 2 26 4 2 1 1 1 0.618 TRUE
1 556 2 27 3 4 0 0 1 0.58 TRUE
1 556 2 28 3 1 1 1 1 0.491 TRUE
1 556 2 29 3 4 0 0 1 0.453 TRUE
1 556 2 30 5 5 1 1 1 0.514 TRUE
1 556 3 1 5 2 1 1 1 0.683 TRUE
1 556 3 2 5 1 1 1 1 1.005 FALSE
1 556 3 3 5 6 0 0 1 0.53 TRUE
1 556 3 4 4 1 0 1 0 1.104 FALSE
1 556 3 5 2 1 1 1 1 0.413 TRUE
1 556 3 6 4 2 1 1 1 0.665 TRUE
1 556 3 7 5 5 1 1 1 0.463 TRUE
1 556 3 8 4 5 0 0 1 0.464 TRUE
1 556 3 9 1 1 1 1 1 0.388 TRUE
1 556 3 10 5 6 0 0 1 0.528 TRUE
1 556 3 11 4 5 0 0 1 0.706 TRUE
1 556 3 12 3 1 1 1 1 0.589 TRUE
1 556 3 13 2 3 0 0 1 0.444 TRUE
1 556 3 14 3 4 0 0 1 0.449 TRUE
1 556 3 15 3 4 0 0 1 0.445 TRUE
1 556 3 16 4 4 1 1 1 0.784 FALSE
1 556 3 17 5 3 1 1 1 0.643 TRUE
