"rep(2, length(dats[, 1]))" "dat[, 1]" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
2 155 1 26 2 3 0 0 1 0.522 TRUE
2 155 1 27 2 3 0 0 1 0.486 TRUE
2 155 1 28 5 6 0 0 1 0.55 TRUE
2 155 1 29 5 3 1 1 1 0.728 TRUE
2 155 1 30 3 1 1 1 1 0.483 TRUE
2 155 2 1 4 5 0 0 1 0.533 TRUE
2 155 2 2 2 3 0 0 1 0.478 TRUE
2 155 2 3 3 2 1 1 1 0.488 TRUE
2 155 2 4 5 6 0 0 1 1.069 TRUE
2 155 2 5 3 4 0 0 1 0.511 TRUE
2 155 2 6 4 2 1 1 1 0.792 TRUE
2 155 2 7 4 4 1 1 1 0.417 TRUE
2 155 2 8 5 6 0 0 1 0.644 TRUE
2 155 2 9 4 5 0 0 1 1.8 FALSE
2 155 2 10 2 1 1 1 1 0.502 TRUE
2 155 2 11 5 6 0 0 1 0.557 TRUE
2 155 2 12 5 6 0 0 1 1.938 FALSE
2 155 2 13 4 3 1 1 1 0.524 TRUE
2 155 2 14 5 6 0 0 1 0.559 TRUE
2 155 2 15 3 4 0 0 1 0.901 TRUE
2 155 2 16 1 2 0 0 1 0.725 TRUE
2 155 2 17 5 5 1 1 1 0.619 TRUE
2 155 2 18 1 1 1 1 1 0.571 TRUE
2 155 2 19 4 5 0 0 1 0.724 TRUE
2 155 2 20 5 2 1 1 1 0.675 TRUE
2 155 2 21 5 1 1 1 1 0.697 TRUE
2 155 2 22 4 1 1 1 1 0.544 TRUE
2 155 2 23 2 3 0 0 1 0.544 TRUE
2 155 2 24 3 1 1 1 1 0.608 TRUE
2 155 2 25 5 3 1 1 1 0.822 TRUE
2 155 2 26 5 4 1 1 1 0.587 TRUE
2 155 2 27 2 2 1 1 1 0.474 TRUE
2 155 2 28 3 4 0 0 1 0.484 TRUE
2 155 2 29 3 3 1 1 1 0.465 TRUE
