subj_idx,CSI,size,probe,rt,correct,stim,response
6,No,2,int,1.5798,1,1,0
9,No,8,pos,1.5798,1,2,1
4,No,8,neg,1.58,0,1,1
10,No,6,pos,1.58,0,2,0
20,No,4,pos,1.5801,1,2,1
10,400,4,neg,1.5801,1,1,0
17,400,6,int,1.5802,1,1,0
12,No,6,int,1.5803,1,1,0
9,2000,8,pos,1.5803,1,2,1
18,100,8,neg,1.581,1,1,0
3,2000,4,pos,1.5811,1,2,1
13,100,8,pos,1.5814,1,2,1
1,400,8,int,1.5816,1,1,0
3,2000,8,neg,1.5821,1,1,0
1,100,2,pos,1.5835,1,2,1
17,100,6,int,1.584,0,1,1
13,100,8,int,1.5843,1,1,0
1,No,6,int,1.5848,1,1,0
19,100,8,pos,1.5848,0,2,0
2,No,6,pos,1.5856,1,2,1
10,2000,6,pos,1.5865,1,2,1
10,2000,4,pos,1.5868,1,2,1
20,2000,2,pos,1.5869,1,2,1
21,No,6,pos,1.587,0,2,0
24,No,8,pos,1.5872,1,2,1
2,2000,8,neg,1.5873,1,1,0
18,No,6,int,1.5873,1,1,0
18,400,6,pos,1.5874,1,2,1
18,2000,6,pos,1.5875,0,2,0
2,No,6,pos,1.5876,0,2,0
13,400,6,int,1.5877,1,1,0
15,No,4,int,1.5878,1,1,0
2,400,8,int,1.588,1,1,0
2,2000,6,int,1.588,1,1,0
10,No,2,int,1.588,1,1,0
9,400,6,pos,1.588,1,2,1
16,No,2,pos,1.588,1,2,1
15,2000,2,pos,1.5881,0,2,0
4,2000,6,int,1.5881,1,1,0
17,400,6,int,1.5881,1,1,0
6,400,2,int,1.5882,0,1,1
12,No,8,pos,1.5883,1,2,1
17,400,4,pos,1.5885,1,2,1
2,100,6,pos,1.5898,1,2,1
18,100,8,pos,1.5904,0,2,0
1,100,6,neg,1.5905,1,1,0
12,100,4,int,1.5908,1,1,0
9,100,6,pos,1.591,1,2,1
8,100,4,pos,1.5912,1,2,1
10,100,2,neg,1.5913,1,1,0
7,100,4,pos,1.5915,1,2,1
18,100,4,neg,1.5922,1,1,0
2,No,2,pos,1.5929,1,2,1
24,No,2,neg,1.5929,1,1,0
10,No,8,int,1.5935,1,1,0
12,No,6,pos,1.5936,1,2,1
9,2000,4,pos,1.5937,1,2,1
4,400,6,pos,1.5943,1,2,1
18,2000,6,pos,1.595,1,2,1
24,No,6,pos,1.5951,1,2,1
11,No,8,int,1.5951,1,1,0
11,No,8,int,1.5951,1,1,0
5,400,4,neg,1.5953,1,1,0
6,No,4,int,1.5954,1,1,0
4,No,8,pos,1.5954,0,2,0
10,No,8,pos,1.5954,0,2,0
