4 1 2 3 4 5 6 7  10336  302  302  302  415  640  1017 0 0 0 0  1315  863  1200  861 
2 1 2 4 3 5 6 7  1042  415  302  377  1694  340  340 0 0 0 0  831  538  559  409 
2 1 2 3 5 4 6 7  775  766  565  5873  791  490  227 0 0 0 0  448  336  409  484 
2 1 2 3 4 5 6 7  850  490  340  377  489  829  340 0 0 0 0  562  447  560  598 
2 1 2 3 4 5 6 7  5744  340  490  715  1770  565  377 0 0 0 0  598  388  3421  560 
2 1 2 3 4 5 6 7  963  452  791  506  1506  716  190 0 0 0 0  826  447  560  710 
2 1 2 3 4 6 5 7  700  356  527  317  2723  302  340 0 0 0 0  715  409  486  334 
2 1 2 3 4 5 6 7  1302  640  415  423  1598  1280  452 0 0 0 0  1315  711  710  447 
2 1 5 3 4 2 6 7  1490  753  678  640  1544  791  227 0 0 0 0  525  485  560  597 
2 1 2 3 5 4 6 7  850  527  414  565  4029  716  716 0 0 0 0  751  447  409  599 
2 1 6 3 4 5 2 7  775  1243  460  640  2038  716  839 0 0 0 0  977  409  371  446 
2 1 2 3 4 5 6 7  926  415  340  377  415  799  227 0 0 0 0  505  446  409  447 
2 5 2 3 4 1 6 7  813  467  1130  2335  12726  452  753 0 0 0 0  563  334  522  673 
2 2 2 3 4 5 6 7  813  3209  1590  265  8660  340  200 0 0 1 0  525  372  334  614 
2 1 2 3 4 5 6 7  549  753  265  1544  527  979  265 0 0 0 0  412  371  371  484 
2 1 2 3 4 5 6 7  737  527  716  490  942  603  427 0 0 0 0  1353  748  523  484 
2 1 2 3 4 5 6 7  813  640  415  452  415  265  265 0 0 0 0  563  823  522  1651 
2 1 2 3 4 6 5 7  662  527  565  302  1732  452  716 0 0 0 0  462  371  409  484 
2 1 2 3 4 5 6 7  737  452  866  386  377  415  640 0 0 0 0  939  371  446  446 
2 1 2 3 4 5 6 7  700  452  340  265  340  1996  265 0 0 0 0  826  484  974  409 
2 2 5 3 4 1 6 7  1419  1055  1054  904  3765  425  801 0 0 0 0  1730  522  936  522 
2 3 1 7 4 5 6 2  4050  490  904  640  8359  377  866 0 0 0 0  1483  484  1953  334 
2 1 2 3 4 5 6 7  1377  265  452  452  340  942  227 1 0 0 0  2219  727  484  484 
2 1 6 3 4 5 2 7  1039  678  716  16341  1356  565  866 0 0 0 0  1165  447  484  597 
2 1 2 3 4 6 5 7  737  377  452  452  1657  716  227 0 0 0 0  922  710  522  598 
2 -9 2 3 4 5 6 7  1453  1770  302  390  6552  340  452 0 0 0 0  525  522  560  635 
2 1 2 3 4 5 6 7  888  753  317  340  1092  377  377 0 1 0 0  865  371  710  559 
2 1 5 3 4 6 2 7  813  527  377  340  866  791  490 0 0 0 0  488  484  635  635 
2 1 2 3 4 5 6 7  1076  942  490  302  1167  415  942 0 0 0 0  864  560  748  635 
2 1 2 3 4 5 6 7  813  1017  414  502  2372  265  490 0 0 0 0  902  484  597  635 
2 1 2 6 3 5 4 7  775  490  7131  415  1055  415  190 0 0 0 0  789  597  1351  559 
2 1 2 3 4 6 5 7  775  640  5987  265  3389  415  377 0 0 0 0  618  560  447  484 
2 1 2 3 4 5 6 7  775  377  302  377  377  340  452 0 0 0 0  450  635  484  560 
2 1 2 3 4 6 5 7  1001  377  602  490  8405  678  979 0 0 0 0  789  446  426  560 
2 1 2 3 4 6 5 7  700  452  227  527  942  979  302 0 0 0 0  1090  748  748  597 
