id,group,sex,age,session,memo,example,con,nblock,n,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,in_pos,in_nr,pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,1,24,1,1,0,1,2,5,10,5,12,50,1,1,1,1,1,5,5, ,582,1,0,582,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,11,1,12,51,1,1,1,2,2,1,1,154,635,1,0,635,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,11,2,12,52,1,2,1,4,5,2,2, ,502,0,1,502,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,11,3,12,53,1,1,1,5,5,3,3, ,740,1,0,740,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,11,4,12,54,1,2,1,7,5,4,4, ,484,0,1,484,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,11,5,12,55,1,1,1,3,3,5,5, ,379,1,0,379,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,12,1,12,56,1,2,1,9,8,1,1,168,870,0,1,870,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,12,2,12,57,1,2,0,8,8,2,2, ,475,1,0, ,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,2,5,12,3,12,58,1,2,1,2,7,3,3, ,572,0,2,572,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,12,4,12,59,1,2,1,3,1,4,4, ,537,0,2,537,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,2,5,12,5,12,60,1,2,1,6,5,5,5, ,502,0,2,502,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,1,1,20,1,1,2,1,3,4,1,1,161,693,0,2,693,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,1,2,20,2,1,2,1,7,6,2,2, ,476,0,1,476,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,1,3,20,3,1,2,1,6,5,3,3, ,431,0,2,431,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,2,1,20,4,1,2,1,7,8,1,1,218,646,0,2,646,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,2,2,20,5,1,1,1,1,1,2,2, ,608,1,0,608,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,2,3,20,6,1,1,1,2,2,3,3, ,537,1,0,537,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,3,1,20,7,1,1,1,5,5,1,1,156,634,1,0,634,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,3,2,20,8,1,1,1,7,7,2,2, ,441,1,0,441,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,3,3,20,9,1,1,1,9,9,3,3, ,405,1,0,405,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,4,1,20,10,1,2,1,4,2,1,1,128,401,0,2,401,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,4,2,20,11,1,1,1,6,6,2,2, ,591,1,0,591,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,4,3,20,12,1,1,1,8,8,3,3, ,467,1,0,467,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,5,1,20,13,1,1,1,5,5,1,1,53,826,1,0,826,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,5,2,20,14,1,1,1,8,8,2,2, ,396,1,0,396,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,5,3,20,15,1,2,1,2,6,3,3, ,520,0,2,520,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,6,1,20,16,1,1,1,3,3,1,1,102,533,1,0,533,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,6,2,20,17,1,2,1,4,8,2,2, ,502,0,2,502,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,6,3,20,18,1,2,1,9,8,3,3, ,554,0,2,554,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,7,1,20,19,1,1,1,6,6,1,1,102,496,1,0,496,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,7,2,20,20,1,2,1,3,2,2,2, ,538,0,2,538,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,7,3,20,21,1,2,1,9,5,3,3, ,546,0,2,546,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,8,1,20,22,1,1,1,2,2,1,1,234,406,1,0,406,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,8,2,20,23,1,2,1,7,5,2,2, ,661,0,1,661,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,8,3,20,24,1,1,1,5,5,3,3, ,555,1,0,555,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,9,1,20,25,1,1,1,7,7,1,1,146,702,1,0,702,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,9,2,20,26,1,2,1,4,7,2,2, ,618,0,1,618,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,9,3,20,27,1,2,1,2,3,3,3, ,697,0,2,697,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,10,1,20,28,1,2,1,4,1,1,1,84,692,0,2,692,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,10,2,20,29,1,2,1,3,2,2,2, ,502,0,2,502,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,10,3,20,30,1,2,1,5,7,3,3, ,574,0,2,574,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,11,1,20,31,1,1,1,3,3,1,1,147,633,1,0,633,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,11,2,20,32,1,2,1,5,3,2,2, ,670,0,1,670,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,11,3,20,33,1,2,1,9,5,3,3, ,476,0,1,476,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,12,1,20,34,1,2,1,8,7,1,1,107,556,0,1,556,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,12,2,20,35,1,2,1,7,3,2,2, ,449,0,2,449,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,12,3,20,36,1,2,1,6,4,3,3, ,468,0,2,468,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,13,1,20,37,1,2,1,3,4,1,1,129,464,0,2,464,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,13,2,20,38,1,2,1,7,9,2,2, ,503,0,2,503,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,13,3,20,39,1,2,1,2,9,3,3, ,450,0,2,450,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,14,1,20,40,1,1,1,6,6,1,1,183,980,1,0, ,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,14,2,20,41,1,2,1,8,1,2,2, ,459,0,2,459,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,14,3,20,42,1,2,1,5,2,3,3, ,476,0,2,476,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,15,1,20,43,1,2,1,4,1,1,1,73,406,0,2,406,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,15,2,20,44,1,1,1,2,2,2,2, ,475,1,0,475,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,15,3,20,45,1,1,1,3,3,3,3, ,502,1,0,502,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,16,1,20,46,1,2,1,7,9,1,1,715,392,0,1,392,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,16,2,20,47,1,1,1,4,4,2,2, ,590,1,0,590,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,16,3,20,48,1,1,1,9,9,3,3, ,547,1,0,547,561.555555555556,133.348603292273,961.601365432375,2
1,1,1,24,1,1,0,1,3,3,17,1,20,49,1,2,1,2,1,1,1,82,521,0,1,521,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,17,2,20,50,1,1,0,1,2,2,2, ,608,0,1, ,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,17,3,20,51,1,2,1,8,7,3,3, ,459,0,2,459,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,18,1,20,52,1,2,1,4,9,1,1,145,462,0,2,462,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,18,2,20,53,1,2,1,1,6,2,2, ,405,0,2,405,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,18,3,20,54,1,2,1,8,9,3,3, ,432,0,2,432,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,19,1,20,55,1,2,1,9,2,1,1,149,572,0,2,572,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,19,2,20,56,1,2,1,7,5,2,2, ,512,0,2,512,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,19,3,20,57,1,2,1,6,8,3,3, ,458,0,2,458,610.927083333333,185.257729140083,1166.70027075358,2
1,1,1,24,1,1,0,1,3,3,20,1,20,58,1,2,1,8,4,1,1,157,644,0,2,644,610.927083333333,185.257729140083,1166.70027075358,2
