id,group,sex,age,session,memo,con,nblock,n,example,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,22,1,1,3,2,4,0,7,1,15,25,2,1,1,5,5,4,450,1093,0,1,1093,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,7,2,15,26,2,2,1,6,1,3, ,681,1,0,681,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,7,3,15,27,2,1,1,1,5,2, ,1045,0,1,1045,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,7,4,15,28,2,1,1,2,1,1, ,1656,0,1,1656,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,1,2,4,0,8,1,15,29,2,1,1,1,2,1,454,733,0,2,733,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,8,2,15,30,2,2,1,8,8,2, ,1172,1,0,1172,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,8,3,15,31,2,2,1,9,9,3, ,998,1,0,998,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,8,4,15,32,2,2,1,5,5,4, ,479,1,0,479,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,4,2,4,0,9,1,15,33,2,1,1,5,2,3,465,2707,0,2,2707,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,9,2,15,34,2,2,1,3,5,1, ,1354,1,0,1354,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,9,3,15,35,2,2,1,8,1,4, ,782,1,0,782,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,9,4,15,36,2,2,1,1,3,2, ,775,1,0,775,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,1,2,4,0,10,1,15,37,2,2,1,5,5,1,466,1102,1,0,1102,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,10,2,15,38,2,1,1,4,6,2, ,2950,0,1,2950,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,10,3,15,39,2,2,1,6,6,3, ,937,1,0,937,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,10,4,15,40,2,2,1,7,7,4, ,735,1,0,735,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,3,2,4,0,11,1,15,41,2,1,1,1,3,4,703,1997,0,2,1997,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,11,2,15,42,2,1,1,6,4,3, ,1231,0,2,1231,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,11,3,15,43,2,2,1,7,6,2, ,631,1,0,631,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,11,4,15,44,2,2,1,9,1,1, ,437,1,0,437,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,4,2,4,0,12,1,15,45,2,1,1,3,9,4,437,917,0,2,917,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,12,2,15,46,2,1,1,1,2,2, ,1225,0,2,1225,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,2,4,0,12,3,15,47,2,2,1,6,3,1, ,670,1,0,670,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,12,4,15,48,2,2,1,4,6,3, ,707,1,0,707,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,3,2,4,0,13,1,15,49,2,1,1,5,4,4,500,1430,0,2,1430,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,2,4,0,13,2,15,50,2,2,1,1,9,3, ,944,1,0,944,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,13,3,15,51,2,2,1,9,1,2, ,1866,1,0,1866,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,2,4,0,13,4,15,52,2,2,1,8,5,1, ,600,1,0,600,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,1,2,4,0,14,1,15,53,2,2,1,3,3,1,470,769,1,0,769,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,14,2,15,54,2,2,1,6,6,2, ,486,1,0,486,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,2,4,0,14,3,15,55,2,1,1,9,7,3, ,426,0,1,426,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,2,4,0,14,4,15,56,2,1,1,7,6,4, ,1020,0,1,1020,1064.38888888889,815.009322266177,3509.41685568742,4
