id,group,sex,age,session,memo,example,con,nblock,n,trial,out_nr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,21,1,1,0,1,2,5,7,1,12,31,1,1,1,8,8,1,1152,662,1,0,662,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,7,2,12,32,1,1,1,7,7,2, ,429,1,0,429,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,7,3,12,33,1,1,1,6,6,3, ,508,1,0,508,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,7,4,12,34,1,2,1,2,9,4, ,715,0,1,715,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,7,5,12,35,1,2,1,9,6,5, ,603,0,1,603,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,8,1,12,36,1,1,1,8,8,1,1266,930,1,0,930,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,8,2,12,37,1,1,1,6,6,2, ,604,1,0,604,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,8,3,12,38,1,1,1,3,3,3, ,626,1,0,626,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,8,4,12,39,1,1,1,5,5,4, ,730,1,0,730,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,8,5,12,40,1,2,1,9,8,5, ,551,0,1,551,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,9,1,12,41,1,1,1,6,6,1,984,807,1,0,807,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,9,2,12,42,1,2,1,4,9,2, ,559,0,1,559,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,9,3,12,43,1,1,1,8,8,3, ,638,1,0,638,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,9,4,12,44,1,2,1,9,7,4, ,575,0,2,575,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,9,5,12,45,1,2,1,1,5,5, ,779,0,2,779,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,10,1,12,46,1,1,1,1,1,1,993,865,1,0,865,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,10,2,12,47,1,1,1,9,9,2, ,854,1,0,854,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,10,3,12,48,1,2,1,8,3,3, ,663,0,2,663,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,10,4,12,49,1,2,1,2,5,4, ,718,0,2,718,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,10,5,12,50,1,2,1,6,5,5, ,694,0,2,694,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,11,1,12,51,1,1,1,8,8,1,816,795,1,0,795,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,11,2,12,52,1,2,1,7,4,2, ,594,0,2,594,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,11,3,12,53,1,2,1,9,1,3, ,573,0,2,573,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,11,4,12,54,1,1,1,5,5,4, ,540,1,0,540,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,11,5,12,55,1,1,1,2,2,5, ,658,1,0,658,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,12,1,12,56,1,2,1,4,8,1,896,997,0,2,997,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,12,2,12,57,1,2,1,2,3,2, ,547,0,2,547,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,2,5,12,3,12,58,1,1,1,6,6,3, ,542,1,0,542,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,12,4,12,59,1,1,1,5,5,4, ,656,1,0,656,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,2,5,12,5,12,60,1,1,1,7,7,5, ,646,1,0,646,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,1,1,20,1,1,2,1,8,7,1,478,664,0,1,664,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,1,2,20,2,1,2,1,5,6,2, ,508,0,2,508,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,1,3,20,3,1,1,1,7,7,3, ,585,1,0,585,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,2,1,20,4,1,1,1,8,8,1,360,611,1,0,611,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,2,2,20,5,1,1,1,7,7,2, ,648,1,0,648,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,2,3,20,6,1,2,1,9,3,3, ,629,0,2,629,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,3,1,20,7,1,1,1,1,1,1,1010,1169,1,0, ,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,3,2,20,8,1,2,1,3,5,2, ,603,0,1,603,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,3,3,20,9,1,1,1,5,5,3, ,889,1,0,889,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,4,1,20,10,1,2,1,8,1,1,561,1779,0,1, ,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,4,2,20,11,1,2,1,9,2,2, ,563,0,2,563,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,4,3,20,12,1,2,1,1,5,3, ,967,0,2,967,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,5,1,20,13,1,2,1,8,2,1,722,745,0,1,745,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,5,2,20,14,1,2,1,2,1,2, ,675,0,1,675,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,5,3,20,15,1,1,1,1,1,3, ,686,1,0,686,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,6,1,20,16,1,1,1,4,4,1,621,508,1,0,508,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,6,2,20,17,1,1,1,6,6,2, ,490,1,0,490,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,6,3,20,18,1,1,1,7,7,3, ,435,1,0,435,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,7,1,20,19,1,1,1,3,3,1,388,413,1,0,413,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,7,2,20,20,1,2,1,1,7,2, ,462,0,2,462,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,7,3,20,21,1,2,1,6,9,3, ,478,0,2,478,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,8,1,20,22,1,2,1,9,1,1,635,706,0,2,706,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,8,2,20,23,1,2,1,2,7,2, ,422,0,2,422,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,8,3,20,24,1,1,1,4,4,3, ,480,1,0,480,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,9,1,20,25,1,1,1,1,1,1,2659,418,1,0,418,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,9,2,20,26,1,2,1,2,8,2, ,547,0,2,547,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,9,3,20,27,1,1,1,5,5,3, ,787,1,0,787,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,10,1,20,28,1,1,1,6,6,1,1054,464,1,0,464,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,10,2,20,29,1,1,1,4,4,2, ,522,1,0,522,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,10,3,20,30,1,2,1,9,4,3, ,540,0,1,540,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,11,1,20,31,1,2,1,3,1,1,862,553,0,2,553,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,11,2,20,32,1,2,1,2,9,2, ,509,0,2,509,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,11,3,20,33,1,2,1,5,1,3, ,521,0,2,521,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,12,1,20,34,1,2,1,5,8,1,2089,581,0,2,581,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,12,2,20,35,1,1,1,7,7,2, ,564,1,0,564,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,12,3,20,36,1,2,1,3,5,3, ,746,0,1,746,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,13,1,20,37,1,1,1,7,7,1,690,319,1,0,319,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,13,2,20,38,1,1,1,8,8,2, ,441,1,0,441,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,13,3,20,39,1,1,1,3,3,3, ,463,1,0,463,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,14,1,20,40,1,1,1,8,8,1,666,398,1,0,398,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,14,2,20,41,1,1,1,5,5,2, ,496,1,0,496,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,14,3,20,42,1,2,1,9,2,3, ,560,0,2,560,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,15,1,20,43,1,1,1,2,2,1,683,549,1,0,549,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,15,2,20,44,1,2,1,1,4,2, ,475,0,1,475,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,15,3,20,45,1,2,1,4,7,3, ,539,0,2,539,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,16,1,20,46,1,1,1,8,8,1,744,460,1,0,460,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,16,2,20,47,1,2,1,4,9,2, ,562,0,1,562,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,16,3,20,48,1,2,1,9,3,3, ,593,0,2,593,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,17,1,20,49,1,1,1,2,2,1,735,724,1,0,724,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,17,2,20,50,1,2,1,3,6,2, ,622,0,2,622,643.444444444444,184.943788065644,1198.27580864138,1
1,1,2,21,1,1,0,1,3,3,17,3,20,51,1,1,1,1,1,3, ,557,1,0,557,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,18,1,20,52,1,1,1,2,2,1,413,373,1,0,373,644.477777777778,165.846770200741,1142.01808838,1
1,1,2,21,1,1,0,1,3,3,18,2,20,53,1,2,1,9,4,2, ,446,0,2,446,643.444444444444,184.943788065644,1198.27580864138,1
